stop_id,external_code,stop_name,stop_lat,stop_lon,location_type,parent_station,city_code
1350,1350,Ch. des Izards,43.6611793572,1.43921751234,0,l_1110,
14410,14410,Nobles,43.670750572,1.44550635918,0,l_1495,
14420,14420,Fourquets,43.6719146168,1.45042933972,0,l_1074,
14430,14430,Gendarmerie,43.6724159616,1.4523782187,0,l_889,
14440,14440,Mairie Launaguet,43.6739371184,1.45593369497,0,l_981,
14450,14450,Chalets,43.6761240775,1.45625906865,0,l_1529,
14460,14460,Mirabelles,43.6786616935,1.45438684729,0,l_139,
14470,14470,Renée Aspe,43.6805199482,1.45298326857,0,l_164,
14480,14480,Rond-point Chalets,43.6823847442,1.45128222867,0,l_568,
14490,14490,Grazidou,43.6865538972,1.45106882496,0,l_24,
14500,14500,Clotildes,43.692511353,1.45079043156,0,l_820,
14510,14510,Peyrandrieu,43.6959906951,1.45086024006,0,l_1930,
14520,14520,Turtelle,43.7026035403,1.45930692602,0,l_1979,
14552,14552,Pechbonnieu Mairie,43.7031054267,1.46691944498,0,l_1180,
14610,14610,Mimosas,43.7004584789,1.4708874919,0,l_843,
14620,14620,Pins,43.6978137573,1.47515248204,0,l_1353,
14630,14630,Puntous,43.6968386699,1.47687694023,0,l_414,
14641,14641,St-Loup,43.6965614206,1.47932179466,0,l_1385,
14660,14660,Bonnecarrère,43.6992258701,1.47300009187,0,l_1958,
1473,1473,Trois Cocus,43.6386401446,1.44412671176,0,l_801,
14740,14740,Belaval,43.6972344058,1.48258245551,0,l_1588,
1820,1820,Croix Bénite,43.6539753493,1.43765956986,0,l_1987,
1860,1860,Sarah Bernhardt,43.6517953648,1.43817673426,0,l_1840,
21523,21523,Marigny,43.6960110935,1.47906990297,0,l_474,
30461,30461,Lycée Toulouse-Lautrec,43.6264368493,1.44343904426,0,l_540,
3520,3520,Claude Bernard,43.6367350473,1.44092630965,0,l_858,
460,460,Baron,43.6454853998,1.43927875966,0,l_440,
4750,4750,Moulis,43.6656993972,1.44013697691,0,l_345,
6040,6040,Rigal,43.6426890315,1.43917422045,0,l_1758,
6070,6070,Rispet,43.6489340695,1.43891502722,0,l_716,
7040,7040,Turlu,43.6578202751,1.43846561791,0,l_1575,
7130,7130,Van Dyck,43.6400205484,1.4393152192,0,l_151,
l_1074,,Fourquets,43.67189,1.45007,1,,31282
l_1110,,Ch. des Izards,43.66090,1.43910,1,,31555
l_1180,,Pechbonnieu Mairie,43.70316,1.46686,1,,31410
l_1353,,Pins,43.69783,1.47522,1,,31497
l_1385,,St-Loup,43.69656,1.47932,1,,31497
l_139,,Mirabelles,43.67868,1.45433,1,,31282
l_1495,,Nobles,43.67074,1.44542,1,,31282
l_151,,Van Dyck,43.64033,1.43984,1,,31555
l_1529,,Chalets,43.67650,1.45614,1,,31282
l_1575,,Turlu,43.65764,1.43839,1,,31555
l_1588,,Belaval,43.69723,1.48258,1,,31497
l_164,,Renée Aspe,43.68064,1.45285,1,,31282
l_1758,,Rigal,43.64258,1.43911,1,,31555
l_1840,,Sarah Bernhardt,43.65148,1.43823,1,,31555
l_1930,,Peyrandrieu,43.69599,1.45079,1,,31116
l_1958,,Bonnecarrère,43.69926,1.47294,1,,31497
l_1979,,Turtelle,43.70264,1.45925,1,,31410
l_1987,,Croix Bénite,43.65416,1.43766,1,,31555
l_24,,Grazidou,43.68665,1.45057,1,,31116
l_345,,Moulis,43.66595,1.44041,1,,31282
l_414,,Puntous,43.69683,1.47694,1,,31497
l_440,,Baron,43.64537,1.43924,1,,31555
l_474,,Marigny,43.69605,1.47892,1,,31497
l_540,,Lycée Toulouse-Lautrec,43.62655,1.44366,1,,31555
l_568,,Rond-point Chalets,43.68232,1.45122,1,,31282
l_716,,Rispet,43.64869,1.43891,1,,31555
l_801,,Trois Cocus,43.63841,1.44422,1,,31555
l_820,,Clotildes,43.69235,1.45079,1,,31116
l_843,,Mimosas,43.70067,1.47057,1,,31497
l_858,,Claude Bernard,43.63671,1.44090,1,,31555
l_889,,Gendarmerie,43.67243,1.45236,1,,31282
l_981,,Mairie Launaguet,43.67393,1.45583,1,,31282
